occupational_code,skill,importance
19-4051,,
19-4061,,
19-4071,,
19-4092,,
19-4099,,
19-5011,,
19-5012,,
21-1011,Active Listening,4.25
21-1011,Speaking,4.25
21-1011,Critical Thinking,4.12
21-1011,Social Perceptiveness,4.12
21-1012,Active Listening,4.38
21-1012,Speaking,4.12
21-1012,Social Perceptiveness,4.12
21-1013,Active Listening,4.88
21-1013,Speaking,4.25
21-1013,Social Perceptiveness,4.38
21-1014,Reading Comprehension,4.12
21-1014,Active Listening,4.75
21-1014,Speaking,4.25
21-1014,Social Perceptiveness,4.88
21-1015,,
21-1019,,
21-1021,Active Listening,4.88
21-1021,Speaking,4.5
21-1021,Critical Thinking,4.12
21-1021,Social Perceptiveness,4.12
21-1022,Speaking,4.12
21-1022,Social Perceptiveness,4.25
21-1022,Service Orientation,4.12
21-1023,Active Listening,4.12
21-1023,Speaking,4.12
21-1023,Social Perceptiveness,4.25
21-1029,,
21-1091,Active Listening,4.12
21-1091,Writing,4.12
21-1091,Speaking,4.12
21-1092,,
21-1093,,
21-1094,Active Listening,4.12
21-1094,Speaking,4.12
21-1094,Social Perceptiveness,4.12
21-1099,,
21-2011,Active Listening,4.25
21-2011,Speaking,4.75
21-2011,Social Perceptiveness,4.12
21-2021,Speaking,4.12
21-2099,,
23-1011,Reading Comprehension,4.5
23-1011,Active Listening,4.5
23-1011,Writing,4.25
23-1011,Speaking,4.62
23-1011,Critical Thinking,4.5
23-1011,Complex Problem Solving,4.12
23-1011,Judgment and Decision Making,4.12
23-1012,Reading Comprehension,4.5
23-1012,Active Listening,4.25
23-1012,Writing,4.12
23-1012,Critical Thinking,4.25
23-1021,Reading Comprehension,4.25
23-1021,Active Listening,4.25
23-1021,Writing,4.12
23-1021,Critical Thinking,4.25
23-1021,Judgment and Decision Making,4.12
23-1022,Reading Comprehension,4.12
23-1022,Active Listening,4.38
23-1022,Writing,4.25
23-1022,Speaking,4.12
23-1022,Negotiation,4.62
23-1023,Reading Comprehension,4.25
23-1023,Active Listening,5.0
23-1023,Writing,4.12
23-1023,Speaking,4.12
23-1023,Critical Thinking,4.88
23-1023,Complex Problem Solving,4.12
23-1023,Judgment and Decision Making,4.25
23-2011,,
23-2093,Reading Comprehension,4.12
23-2099,,
25-1011,Speaking,4.25
25-1011,Instructing,4.12
25-1021,Instructing,4.12
25-1022,Speaking,4.12
25-1022,Mathematics,4.25
25-1031,Reading Comprehension,4.12
25-1031,Speaking,4.12
25-1031,Learning Strategies,4.12
25-1031,Instructing,4.12
25-1032,Speaking,4.12
25-1032,Learning Strategies,4.12
25-1032,Instructing,4.12
25-1041,Reading Comprehension,4.12
25-1041,Speaking,4.12
25-1041,Learning Strategies,4.12
25-1041,Instructing,4.38
25-1042,Speaking,4.25
25-1042,Learning Strategies,4.12
25-1042,Instructing,4.12
25-1043,Reading Comprehension,4.12
25-1043,Writing,4.12
25-1043,Learning Strategies,4.12
25-1043,Instructing,4.25
25-1051,Speaking,4.75
25-1052,Reading Comprehension,4.12
25-1052,Writing,4.12
25-1052,Speaking,4.12
25-1053,Reading Comprehension,4.12
25-1053,Speaking,4.12
25-1054,Reading Comprehension,4.12
25-1054,Speaking,4.12
25-1054,Science,4.12
25-1054,Instructing,4.25
25-1061,Reading Comprehension,4.25
25-1061,Active Listening,4.12
25-1061,Writing,4.12
25-1061,Speaking,4.5
25-1061,Learning Strategies,4.25
25-1061,Instructing,4.12
25-1062,Reading Comprehension,4.25
25-1062,Speaking,4.12
25-1062,Instructing,4.12
25-1063,Speaking,4.12
25-1064,Writing,4.12
25-1064,Speaking,4.12
25-1064,Instructing,4.12
25-1065,Reading Comprehension,4.12
25-1065,Speaking,4.62
25-1066,Reading Comprehension,4.12
25-1066,Speaking,4.12
25-1066,Learning Strategies,4.25
25-1066,Instructing,4.12
25-1067,Speaking,4.62
25-1069,,
25-1071,Reading Comprehension,4.12
25-1071,Speaking,4.12
25-1071,Instructing,4.12
25-1072,Speaking,4.12
25-1072,Learning Strategies,4.12
25-1072,Instructing,4.25
25-1081,Reading Comprehension,4.25
25-1081,Active Listening,4.12
25-1081,Speaking,4.62
25-1081,Learning Strategies,4.12
25-1081,Instructing,4.12
25-1082,Reading Comprehension,4.12
25-1082,Speaking,4.12
25-1082,Instructing,4.25
25-1111,Active Listening,4.12
25-1111,Speaking,4.75
25-1111,Critical Thinking,4.12
25-1112,Reading Comprehension,4.25
25-1112,Active Listening,4.25
25-1112,Speaking,4.62
25-1112,Learning Strategies,4.25
25-1112,Instructing,4.12
25-1113,Speaking,4.62
25-1113,Learning Strategies,4.25
25-1113,Instructing,4.75
25-1121,Speaking,4.62
25-1121,Learning Strategies,4.12
25-1121,Instructing,4.38
25-1122,Reading Comprehension,4.12
25-1122,Active Listening,4.12
25-1122,Speaking,4.12
25-1122,Instructing,4.12
25-1123,Reading Comprehension,4.75
25-1123,Writing,4.25
25-1123,Speaking,4.12
25-1123,Instructing,4.62
25-1124,Speaking,4.12
25-1125,Reading Comprehension,4.25
25-1125,Writing,4.12
25-1125,Speaking,4.5
25-1125,Learning Strategies,4.12
25-1126,Reading Comprehension,4.25
25-1126,Active Listening,4.12
25-1126,Speaking,4.12
25-1126,Instructing,4.12
25-1192,Speaking,4.12
25-1193,Speaking,4.12
25-1193,Instructing,4.12
25-1194,,
25-1199,,
25-2011,,
25-2012,Social Perceptiveness,4.12
25-2012,Instructing,4.12
25-2021,Speaking,4.12
25-2021,Learning Strategies,4.25
25-2021,Instructing,4.25
25-2022,Speaking,4.12
25-2022,Learning Strategies,4.25
25-2022,Instructing,4.25
25-2023,Speaking,4.12
25-2031,Speaking,4.12
25-2031,Instructing,4.12
25-2032,Instructing,4.12
25-2051,Speaking,4.12
25-2055,,
25-2056,,
25-2057,Speaking,4.12
25-2057,Instructing,4.12
25-2058,Learning Strategies,4.12
25-2059,,
25-3011,Instructing,4.25
25-3021,,
25-3031,,
25-3041,Reading Comprehension,4.12
25-3041,Instructing,4.12
25-3099,,
25-4011,Reading Comprehension,4.12
25-4012,,
25-4013,,
25-4022,,
25-4031,,
25-9021,Active Listening,4.38
25-9021,Speaking,4.12
25-9031,Writing,4.12
25-9031,Speaking,4.12
25-9031,Learning Strategies,4.25
25-9031,Instructing,4.12
25-9042,,
25-9043,,
25-9044,,
25-9049,,
25-9099,,
27-1011,,
27-1012,,
27-1013,,
27-1014,,
27-1019,,
27-1021,,
27-1022,,
27-1023,,
27-1024,,
27-1025,,
27-1026,,
27-1027,,
27-1029,,
27-2011,,
27-2012,Active Listening,4.38
27-2021,,
27-2022,Speaking,4.38
27-2022,Learning Strategies,4.12
27-2022,Monitoring,4.12
27-2022,Instructing,4.75
27-2023,,
27-2031,,
27-2032,,
27-2041,,
27-2042,,
27-2091,,
27-2099,,
27-3011,Speaking,4.62
27-3023,Speaking,4.12
27-3031,Active Listening,4.12
27-3031,Speaking,4.12
27-3041,Reading Comprehension,4.88
27-3041,Writing,4.25
27-3042,Reading Comprehension,4.12
27-3042,Writing,4.88
27-3043,Reading Comprehension,4.12
27-3043,Writing,4.75
27-3091,Speaking,4.12
27-3092,,
27-3099,,
27-4011,,
27-4012,,
27-4014,,
27-4015,,
27-4021,,
27-4031,,
27-4032,,
27-4099,,
29-1011,,
29-1021,Critical Thinking,4.12
29-1021,Judgment and Decision Making,4.12
29-1022,Complex Problem Solving,4.12
29-1022,Judgment and Decision Making,4.12
29-1023,,
29-1024,,
29-1029,,
29-1031,,
29-1041,Reading Comprehension,4.12
29-1041,Active Listening,4.12
29-1041,Critical Thinking,4.12
29-1051,,
29-1071,Reading Comprehension,4.12
29-1071,Critical Thinking,4.12
29-1081,,
29-1122,Active Listening,4.12
29-1122,Monitoring,4.12
29-1122,Service Orientation,4.12
29-1123,,
29-1124,,
29-1125,Service Orientation,4.12
29-1126,,
29-1127,Reading Comprehension,4.12
29-1127,Active Listening,4.12
29-1127,Critical Thinking,4.12
29-1127,Social Perceptiveness,4.12
29-1128,,
29-1129,,
29-1131,Reading Comprehension,4.12
29-1131,Active Listening,4.12
29-1141,Social Perceptiveness,4.12
29-1151,Reading Comprehension,4.12
29-1151,Critical Thinking,4.12
29-1161,Active Listening,4.12
29-1161,Speaking,4.12
29-1161,Critical Thinking,4.12
29-1161,Social Perceptiveness,4.12
29-1171,Reading Comprehension,4.12
29-1171,Active Listening,4.12
29-1171,Critical Thinking,4.12
29-1171,Complex Problem Solving,4.12
29-1181,Reading Comprehension,4.12
29-1181,Active Listening,4.12
29-1211,Active Listening,4.12
29-1211,Critical Thinking,4.5
29-1211,Monitoring,4.12
29-1211,Judgment and Decision Making,4.12
29-1212,,
29-1213,Critical Thinking,4.12
29-1214,,
29-1215,Reading Comprehension,4.25
29-1215,Active Listening,4.25
29-1215,Writing,4.12
29-1215,Speaking,4.12
29-1215,Critical Thinking,4.38
29-1216,Reading Comprehension,4.12
29-1216,Active Listening,4.12
29-1217,Reading Comprehension,4.12
29-1217,Active Listening,4.25
29-1217,Speaking,4.12
29-1217,Critical Thinking,4.12
29-1217,Social Perceptiveness,4.12
29-1217,Complex Problem Solving,4.12
29-1218,Reading Comprehension,4.25
29-1218,Active Listening,4.12
29-1218,Critical Thinking,4.38
29-1218,Active Learning,4.12
29-1221,Reading Comprehension,4.12
29-1221,Active Listening,4.12
29-1221,Speaking,4.25
29-1221,Critical Thinking,4.25
29-1221,Judgment and Decision Making,4.25
29-1222,Reading Comprehension,4.25
29-1222,Writing,4.12
29-1222,Critical Thinking,4.12
29-1223,Reading Comprehension,4.12
29-1223,Active Listening,4.62
29-1223,Writing,4.12
29-1223,Speaking,4.25
29-1223,Critical Thinking,4.25
29-1223,Social Perceptiveness,4.5
29-1223,Judgment and Decision Making,4.12
29-1224,Reading Comprehension,4.25
29-1224,Active Listening,4.25
29-1224,Writing,4.12
29-1224,Speaking,4.25
29-1224,Critical Thinking,4.12
29-1224,Judgment and Decision Making,4.12
29-1229,,
29-1241,Reading Comprehension,4.25
29-1241,Active Listening,4.12
29-1241,Critical Thinking,4.25
29-1242,,
29-1243,,
29-1249,,
29-1291,,
29-1292,,
29-1299,,
29-2011,,
29-2012,,
29-2031,,
29-2032,,
29-2033,,
29-2034,,
29-2035,,
29-2036,Critical Thinking,4.12
29-2042,,
29-2043,,
29-2051,,
29-2052,,
29-2053,Social Perceptiveness,4.12
29-2055,,
29-2056,,
29-2057,,
29-2061,Service Orientation,4.12
29-2072,,
29-2081,,
29-2091,,
29-2092,,
29-2099,,
29-9021,,
29-9091,,
